"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","72","10.2",40.3,"107.8","87.5","94.4","89.8","84.5","376","156","357","17",23.6,"0",0,0
"Tucker, Kyle","663656","64","19.5",42.2,"108.1","91.2","100.7","94.6","83.3","427","215","404","29",45.3,"12",18.8,13.2
"Happ, Ian","664023","63","17.8",31.7,"110.7","86.3","97.1","90.1","84.2","404","158","366","18",28.6,"3",4.8,3.2
"Bichette, Bo","666182","62","9.4",46.8,"110.6","91.8","101.7","96.7","89","372","169",,"33",53.2,"6",9.7,7.4
"Edman, Tommy","669242","59","17.9",39,"108.6","91.6","102","94.1","91","423","193","402","30",50.8,"8",13.6,11
"Wilson, Jacob","805779","58","3",32.8,"103.6","85.1","96.1","85.7","86.5","414","113","378","17",29.3,"2",3.4,3.3
"Swanson, Dansby","621020","58","21.4",31,"107.9","91.9","101.6","95.4","90.3","420","185","413","31",53.4,"6",10.3,7.3
"Guerrero Jr., Vladimir","665489","57","8.2",38.6,"113.2","91.4","103.6","98.9","86.4","395","162",,"30",52.6,"6",10.5,8
"Díaz, Yandy","650490","57","-0.5",19.3,"112.5","91.8","104.8","96","90.9","415","124","378","30",52.6,"6",10.5,8.6
"Chourio, Jackson","694192","57","10.9",29.8,"110","89.6","102.4","97.4","82.5","448","163","405","27",47.4,"7",12.3,9.1
"Crow-Armstrong, Pete","691718","56","19.5",33.9,"108.6","89.2","98.3","92.6","86.3","412","164","391","21",37.5,"2",3.6,2.5
"Hoerner, Nico","663538","56","9.8",30.4,"104.7","86.5","95.7","88.6","85.5","354","146",,"15",26.8,"0",0,0
"Bregman, Alex","608324","56","18",30.4,"109.6","93.4","101.2","95.6","91.9","411","167","404","28",50,"5",8.9,6.3
"Duran, Jarren","680776","55","10.5",32.7,"112","93.1","102.4","93.6","94.2","383","152",,"28",50.9,"5",9.1,6.2
"Donovan, Brendan","680977","55","10",41.8,"109.2","91.1","102.1","93.4","90.2","404","168","394","28",50.9,"6",10.9,8.7
"Perdomo, Geraldo","672695","54","16.6",50,"105.6","89.4","97.4","92.8","87","399","199","372","17",31.5,"2",3.7,2.9
"France, Ty","664034","54","9.1",40.7,"108.2","88.9","99.3","93.1","84.4","411","166","405","21",38.9,"5",9.3,7.7
"Naylor, Josh","647304","54","8.3",25.9,"110.8","92.5","102.3","91.8","94.1","393","154","381","23",42.6,"4",7.4,5.9
"Altuve, Jose","514888","54","14.5",16.7,"107","82.9","96.1","89.3","84.2","402","119","372","19",35.2,"3",5.6,4.2
"Albies, Ozzie","645277","54","19.3",38.9,"106.8","86.2","96.8","91.4","82.7","413","176","377","17",31.5,"4",7.4,5.7
"Arenado, Nolan","571448","53","14.3",24.5,"107.9","87","97","90.6","85.9","390","154","378","16",30.2,"3",5.7,4.5
"Ohtani, Shohei","660271","53","12",30.2,"113.1","96.7","106.8","100","93","408","178","393","33",62.3,"11",20.8,13.4
"Tatis Jr., Fernando","665487","53","7.4",34,"112.8","93.9","104.7","99.9","87.2","424","170","404","29",54.7,"11",20.8,15.7
"Turang, Brice","668930","53","4.5",39.6,"109.8","93.6","100.8","95.9","91.6","444","150","425","27",50.9,"6",11.3,8.1
"Lindor, Francisco","596019","52","13.4",28.8,"109.7","89.9","100.6","94","85.4","391","163","391","24",46.2,"3",5.8,4.4
"Hernández, Teoscar","606192","52","9.9",34.6,"109.7","83.1","98.1","90.5","75.1","436","168","390","16",30.8,"5",9.6,7.4
"Witt Jr., Bobby","677951","52","11.2",40.4,"112.6","92","104.1","96.7","84.9","399","181","394","28",53.8,"6",11.5,8.2
"Machado, Manny","592518","52","10.6",32.7,"110.9","91.3","103.8","96.7","88.9","389","150","389","28",53.8,"3",5.8,4.2
"Kwan, Steven","680757","52","6.6",34.6,"101.8","86.4","95","88.5","84.7","406","134","384","10",19.2,"1",1.9,1.5
"Friedl, TJ","670770","51","16.7",33.3,"102.7","88.1","97.2","91","88.1","379","153","378","17",33.3,"1",2,1.5
"Betts, Mookie","605141","51","11",37.3,"101.5","87.5","96.1","88.6","86.8","397","176","380","16",31.4,"2",3.9,3.1
"Ward, Taylor","621493","50","17.2",28,"110.3","90.6","101.6","94.4","85.3","413","191","372","22",44,"6",12,8.7
"Tovar, Ezequiel","678662","50","15",50,"111.1","91.1","99.7","94.9","85.7","400","195",,"22",44,"3",6,4.5
"Pasquantino, Vinnie","686469","50","21.9",32,"104.4","88.3","97.2","91.4","84.2","389","199","386","17",34,"4",8,6.1
"Nootbaar, Lars","663457","50","18",34,"112.7","90","101.9","93.1","88.6","414","169","390","23",46,"4",8,5.4
"Frelick, Sal","686217","50","1.9",28,"103.6","83.8","96.3","91","77.9","352","109",,"15",30,"0",0,0
"Ruiz, Keibert","660688","50","8.2",38,"107.8","85.1","97.3","88","84.8","414","146","393","17",34,"1",2,1.6
"Gurriel Jr., Lourdes","666971","50","22.6",36,"109.1","88.8","98.9","91.4","84.5","416","208","408","17",34,"4",8,6.7
"Bohm, Alec","664761","49","6.8",34.7,"109.3","92.3","102.2","95.3","91.3","394","156",,"25",51,"4",8.2,6.2
"Massey, Michael","686681","49","22.9",34.7,"105.1","85.8","95.7","90","82.5","365","195",,"15",30.6,"1",2,1.6
"Lopez, Otto","672640","49","5.7",36.7,"109.9","87.8","97.7","88.9","86.6","418","153","402","16",32.7,"6",12.2,9.5
"Santander, Anthony","623993","49","14.8",24.5,"110.4","91.1","100.1","95.2","88.1","404","156","404","19",38.8,"2",4.1,2.7
