Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,San Diego Padres,14,3,.824,W 5,4.9,2.8,2.1,-0.3,1.8,13-4,1,4-0,2-2,3-0,5-1,11-0,3-3,0-0,5-0,11-0,3-3,5-2,9-1,7-3,14-3,14-3
2,San Francisco Giants,12,4,.750,W 2,5.3,3.5,1.8,0.9,2.7,11-5,1,1-0,3-3,0-0,8-1,4-2,8-2,2-0,3-2,10-2,2-2,9-4,3-0,7-3,12-4,12-4
3,New York Mets,11,5,.688,W 2,4.1,2.6,1.5,-0.6,0.9,11-5,0,4-2,0-0,0-0,7-3,5-1,6-4,1-0,4-1,10-4,1-1,7-2,4-3,8-2,11-5,11-5
4,Los Angeles Dodgers,12,6,.667,W 1,4.4,4.3,0.1,0.4,0.6,9-9,3,5-4,3-2,1-0,3-0,8-2,4-4,1-0,3-2,7-3,5-3,7-4,5-2,4-6,12-6,12-6
5,Detroit Tigers,10,6,.625,W 1,5.0,3.6,1.4,0.2,1.7,10-6,0,2-1,5-1,2-1,1-3,5-1,5-5,0-1,2-3,7-4,3-2,4-5,6-1,8-2,10-6,10-6
6,Los Angeles Angels,9,6,.600,L 1,5.0,5.2,-0.2,-0.2,-0.4,7-8,2,2-1,4-2,1-2,2-1,2-1,7-5,2-0,4-1,8-6,1-0,6-3,3-3,5-5,9-6,9-6
7,Chicago Cubs,11,8,.579,L 1,6.3,4.4,1.9,0.5,2.4,13-6,-2,0-0,0-0,6-7,5-1,4-4,7-4,0-0,1-1,9-6,2-2,8-8,3-0,6-4,11-8,11-8
8,New York Yankees,9,7,.562,W 1,6.2,4.9,1.3,0.7,2.0,10-6,-1,0-0,2-2,0-0,7-5,6-4,3-3,0-1,1-3,7-4,2-3,3-6,6-1,5-5,9-7,9-7
9,Texas Rangers,9,7,.562,L 3,3.2,4.4,-1.2,0.4,-0.8,6-10,3,6-1,0-0,0-3,3-3,6-1,3-6,0-0,5-0,8-5,1-2,6-6,3-1,5-5,9-7,9-7
10,Philadelphia Phillies,9,7,.562,L 2,4.0,3.9,0.1,-0.6,-0.5,8-8,1,3-3,1-2,5-2,0-0,5-2,4-5,1-1,3-0,7-4,2-3,3-4,6-3,4-6,9-7,9-7
11,Arizona Diamondbacks,9,7,.562,W 2,5.1,4.5,0.6,0.5,1.1,9-7,0,1-2,4-3,0-0,4-2,6-4,3-3,0-0,3-3,7-3,2-4,4-3,5-4,5-5,9-7,9-7
12,Cleveland Guardians,8,7,.533,L 1,3.9,4.1,-0.1,-0.3,-0.4,7-8,1,0-0,7-2,1-2,0-3,5-1,3-6,1-0,2-1,6-4,2-3,1-5,7-2,6-4,8-7,8-7
13,Miami Marlins,8,7,.533,W 2,4.3,4.7,-0.4,-0.1,-0.5,7-8,1,5-6,3-1,0-0,0-0,6-4,2-3,1-1,4-2,5-5,3-2,2-4,6-3,5-5,8-7,8-7
14,Toronto Blue Jays,9,8,.529,L 1,3.9,4.0,-0.1,-0.8,-0.8,8-9,1,6-4,0-0,0-0,3-4,5-3,4-5,2-1,2-4,6-7,3-1,0-3,9-5,4-6,9-8,9-8
15,Cincinnati Reds,8,8,.500,W 3,3.9,3.2,0.7,0.6,1.3,9-7,-1,0-0,4-3,3-3,1-2,5-4,3-4,0-1,2-4,6-5,2-3,4-5,4-3,6-4,8-8,8-8
16,St. Louis Cardinals,8,8,.500,W 2,5.6,5.1,0.6,-0.8,-0.2,9-7,-1,2-1,1-2,0-0,5-5,7-3,1-5,0-4,0-3,6-5,2-3,3-3,5-5,4-6,8-8,8-8
17,Seattle Mariners,8,8,.500,W 4,3.8,4.1,-0.3,0.5,0.2,8-8,0,0-0,1-2,7-3,0-3,8-5,0-3,0-2,4-3,6-5,2-3,4-5,4-3,6-4,8-8,8-8
18,Tampa Bay Rays,8,8,.500,W 2,4.8,3.7,1.1,-1.1,0.0,10-6,-2,1-0,0-0,1-5,6-3,8-5,0-3,0-0,2-4,5-8,3-0,1-5,7-3,4-6,8-8,8-8
19,Kansas City Royals,8,9,.471,L 1,3.1,3.8,-0.6,-0.5,-1.2,7-10,1,2-2,5-5,0-0,1-2,6-4,2-5,0-2,3-1,7-9,1-0,2-5,6-4,5-5,8-9,8-9
20,Milwaukee Brewers,8,9,.471,L 3,4.8,5.5,-0.6,0.3,-0.4,8-9,0,0-0,3-1,3-3,2-5,5-3,3-6,1-0,3-1,4-5,4-4,4-7,4-2,5-5,8-9,8-9
21,Boston Red Sox,8,10,.444,L 1,4.3,5.2,-0.8,-0.7,-1.5,8-10,0,3-5,1-2,1-3,3-0,4-3,4-7,2-1,2-4,8-7,0-3,5-7,3-3,4-6,8-10,8-10
22,Houston Astros,7,9,.438,L 1,3.9,4.1,-0.2,0.5,0.3,8-8,-1,0-0,2-1,3-3,2-5,4-5,3-4,2-0,2-2,7-8,0-1,5-8,2-1,5-5,7-9,7-9
23,Baltimore Orioles,6,9,.400,L 1,4.4,4.8,-0.4,-0.6,-1.0,7-8,-1,4-5,1-2,0-0,1-2,2-3,4-6,0-1,1-2,5-7,1-2,4-5,2-4,3-7,6-9,6-9
24,Washington Nationals,6,10,.375,L 3,4.6,5.6,-1.1,-0.1,-1.2,6-10,0,2-4,0-1,4-2,0-3,5-4,1-6,0-1,2-2,4-8,2-2,6-9,0-1,5-5,6-10,6-10
25,Athletics,6,10,.375,L 1,4.1,5.6,-1.5,0.5,-1.0,6-10,0,0-0,0-0,2-2,4-8,2-7,4-3,1-0,0-4,5-9,1-1,4-9,2-1,4-6,6-10,6-10
26,Pittsburgh Pirates,6,11,.353,W 1,3.5,4.8,-1.2,0.4,-0.9,6-11,0,2-3,2-4,0-0,2-4,4-3,2-8,2-1,3-3,5-9,1-2,5-11,1-0,4-6,6-11,6-11
27,Atlanta Braves,5,11,.312,W 1,3.6,4.3,-0.8,0.4,-0.4,7-9,-2,3-2,0-0,0-7,2-2,3-2,2-9,1-0,1-4,3-10,2-1,5-11,0-0,5-5,5-11,5-11
28,Minnesota Twins,5,12,.294,L 1,3.3,4.3,-1.0,0.0,-1.0,6-11,-1,0-0,4-6,1-2,0-4,2-5,3-7,0-1,0-3,5-10,0-2,1-6,4-6,3-7,5-12,5-12
29,Chicago White Sox,4,11,.267,L 1,3.3,3.5,-0.2,-0.3,-0.5,7-8,-3,2-1,1-8,1-2,0-0,4-5,0-6,0-0,1-5,2-9,2-2,1-8,3-3,2-8,4-11,4-11
